City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,cabedelo,-6.9811,-34.8339,298.52,77,97,4.85,BR,1682426599
118,bilibino,68.0546,166.4372,258.25,78,94,1.88,RU,1682426852
119,chamzinka,54.4019,45.7839,284.21,93,100,7.51,RU,1682426852
120,isafjordur,66.0755,-23.124,273.17,55,40,7.72,IS,1682426853
121,sesimbra,38.4445,-9.1015,299.99,57,17,4.22,PT,1682426853
122,kushiro,42.975,144.3747,277.73,79,100,3.22,JP,1682426817
123,mount gambier,-37.8333,140.7667,288.84,67,85,2.49,AU,1682426854
124,menongue,-14.6585,17.691,304.2,27,16,3.31,AO,1682426855
125,hadibu,12.65,54.0333,302.59,61,100,1.08,YE,1682426855
126,vikulovo,56.8167,70.6107,291.43,41,2,4.85,RU,1682426855
127,vorgashor,67.5833,63.95,267.54,91,6,3.44,RU,1682426587
128,porto,41.1496,-8.611,295.09,69,20,3.13,PT,1682426855
129,kapuskasing,49.4169,-82.4331,270.2,93,100,5.14,CA,1682426856
130,sitka,57.0531,-135.33,275.09,87,75,3.09,US,1682426856
131,nova sintra,14.8667,-24.7167,293.18,76,0,7.97,CV,1682426856
132,fort bragg,35.139,-79.006,285.83,85,0,1.79,US,1682426856
133,thompson,55.7435,-97.8558,268.24,68,20,1.54,CA,1682426856
134,la passe,45.5549,-0.8967,288.28,88,100,2.46,FR,1682426856
135,mbekenyera,-10.0,38.9833,300.93,75,100,2.84,TZ,1682426857
136,kingston,17.997,-76.7936,300.68,76,20,1.54,JM,1682426857
137,chonchi,-42.6128,-73.8092,284.71,99,100,0.03,CL,1682426857
138,bembereke,10.2283,2.6634,311.69,22,68,1.16,BJ,1682426857
139,gizo,-8.103,156.8419,301.12,76,100,1.74,SB,1682426857
140,tralee,52.2704,-9.7026,284.29,50,75,6.17,IE,1682426858
141,nar'yan-mar,67.6713,53.087,272.57,87,13,6.42,RU,1682426858
142,kirishi,59.4471,32.0205,292.82,29,91,4.28,RU,1682426603
143,galle,6.0367,80.217,300.98,76,100,1.13,LK,1682426635
144,klyuchi,52.2667,79.1667,283.47,48,45,3.09,RU,1682426858
145,kolwezi,-10.7148,25.4667,298.04,55,66,2.7,CD,1682426831
146,granville,-33.8333,151.0167,291.5,86,0,0.99,AU,1682426858
147,ust-nera,64.5667,143.2,262.25,99,72,1.48,RU,1682426858
148,igarka,67.4667,86.5833,273.99,99,100,1.95,RU,1682426859
149,lebu,-37.6167,-73.65,284.8,79,100,0.32,CL,1682426836
150,papao,-17.75,-149.55,298.97,87,100,7.74,PF,1682426859
151,waingapu,-9.6567,120.2641,299.24,87,69,4.37,ID,1682426859
152,port macquarie,-31.4333,152.9167,288.65,70,76,0.25,AU,1682426570
153,ghat,24.9647,10.1728,306.19,13,93,4.17,LY,1682426859
154,port alfred,-33.5906,26.891,295.47,81,90,1.34,ZA,1682426860
155,olyokminsk,60.3736,120.4264,270.16,91,100,1.06,RU,1682426860
156,inhambane,-23.865,35.3833,303.15,58,20,5.36,MZ,1682426860
157,tianpeng,30.9866,103.9393,292.41,57,99,2.53,CN,1682426740
158,pangai,-19.8,-174.35,298.21,78,20,0.0,TO,1682426861
159,thunder bay,48.4001,-89.3168,273.14,74,100,0.0,CA,1682426821
160,zhanaozen,43.3,52.8,300.32,20,100,5.98,KZ,1682426754
161,ambovombe,-25.1667,46.0833,296.58,64,80,5.09,MG,1682426861
162,lumding railway colony,25.749,93.17,295.15,79,50,0.84,IN,1682426861
163,st. john's,47.5649,-52.7093,276.3,95,100,8.49,CA,1682426862
164,hasaki,35.7333,140.8333,288.83,60,100,7.86,JP,1682426767
165,atar,20.5169,-13.0499,308.18,21,0,2.06,MR,1682426862
166,fisterra,42.9049,-9.2629,291.49,93,100,6.27,ES,1682426862
167,lospalos,-8.5186,127.0025,295.85,96,100,2.31,TL,1682426862
168,taoudenni,22.6783,-3.9836,311.04,6,0,5.93,ML,1682426862
169,stephenville,32.2207,-98.2023,287.45,94,100,2.06,US,1682426863
170,pont rouge,48.8833,-72.0825,276.21,90,100,4.19,CA,1682426863
171,shiwan,22.9969,113.0799,291.97,65,96,5.87,CN,1682426747
172,lodja,-3.4833,23.4333,307.72,35,43,1.12,CD,1682426863
173,kupang,-10.1667,123.5833,301.47,83,75,2.57,ID,1682426782
174,mossel bay,-34.1831,22.146,293.11,69,33,3.53,ZA,1682426768
175,enewetak,11.3474,162.3373,299.19,83,100,5.91,MH,1682426864
176,kangasniemi,61.9936,26.6479,289.16,68,80,3.22,FI,1682426864
177,sur,22.5667,59.5289,302.83,54,0,0.71,OM,1682426864
178,cascais,38.6979,-9.4215,300.1,69,0,7.15,PT,1682426865
179,katsuura,35.1333,140.3,288.63,65,100,7.79,JP,1682426855
180,bikenibeu village,1.3673,173.1241,300.13,83,75,1.54,KI,1682426865
181,irymple,-34.25,142.1667,292.91,45,100,4.65,AU,1682426865
182,port hedland,-20.3167,118.5667,299.18,89,100,3.09,AU,1682426763
183,diapaga,12.0708,1.7889,313.53,17,22,1.83,BF,1682426866
184,vylkove,45.4021,29.586,288.63,54,81,7.73,UA,1682426866
185,asosa,10.0667,34.5333,299.69,40,100,2.83,ET,1682426743
186,kavieng,-2.5744,150.7967,301.08,80,3,4.43,PG,1682426866
187,saldanha,-33.0117,17.9442,295.18,70,0,4.52,ZA,1682426866
188,quellon,-43.1167,-73.6167,283.29,100,100,0.0,CL,1682426866
189,letterkenny,54.95,-7.7333,283.11,44,100,3.26,IE,1682426867
190,pitimbu,-7.4706,-34.8086,298.48,76,77,4.36,BR,1682426867
191,harstad,68.799,16.5293,276.81,64,13,5.36,NO,1682426867
192,revda,56.801,59.9303,291.65,37,4,3.83,RU,1682426867
193,la cruz,23.9167,-106.9,292.5,62,66,2.21,MX,1682426868
194,uthal,25.8072,66.6219,304.1,42,100,5.31,PK,1682426868
195,paracuru,-3.41,-39.0306,302.65,73,92,4.24,BR,1682426868
196,narasannapeta,18.4167,84.05,301.38,76,63,1.3,IN,1682426869
197,haiku-pauwela,20.9219,-156.3051,294.84,88,0,1.54,US,1682426869
198,bodo,67.28,14.405,278.4,36,0,6.17,NO,1682426870
199,nova vicosa,-17.8919,-39.3719,298.78,81,26,2.78,BR,1682426835
200,san patricio,28.017,-97.5169,296.07,91,98,3.48,US,1682426871
201,shingu,33.7333,135.9833,290.29,92,100,6.54,JP,1682426871
202,akrehamn,59.2667,5.1833,280.6,57,40,14.4,NO,1682426871
203,yurimaguas,-5.9,-76.0833,297.04,93,97,0.58,PE,1682426872
204,mariental,-24.6333,17.9667,302.2,33,2,3.51,NA,1682426872
205,yashiro,34.9167,134.9667,287.75,93,100,4.82,JP,1682426872
206,urengoy,65.9667,78.3667,269.85,87,23,3.95,RU,1682426872
207,aoulef,26.9667,1.0833,308.46,9,0,7.77,DZ,1682426872
208,pingliang,35.5392,106.6861,285.8,50,0,2.67,CN,1682426872
209,smithers,54.7804,-127.1743,275.33,80,100,1.54,CA,1682426873
210,chernyshevskiy,63.0128,112.4714,267.02,97,100,1.38,RU,1682426873
211,lata,40.1629,-8.3327,298.42,47,72,3.54,PT,1682426873
212,san fernando,15.0286,120.6898,303.0,72,27,2.06,PH,1682426760
213,kirakira,-10.4544,161.9205,299.52,83,100,1.47,SB,1682426873
214,murashi,59.3999,48.9615,292.79,32,92,3.44,RU,1682426874
215,tolanaro,-25.0319,46.9987,299.19,61,40,7.2,MG,1682426756
216,mersa matruh,31.3525,27.2453,296.26,64,0,5.14,EG,1682426874
217,westport,41.1415,-73.3579,284.76,60,0,4.63,US,1682426759
218,tazovsky,67.4667,78.7,269.24,91,67,5.09,RU,1682426874
219,anse a galets,18.8317,-72.8642,299.36,69,12,1.67,HT,1682426874
220,tamanrasset,22.785,5.5228,303.1,9,0,2.06,DZ,1682426875
221,medicine hat,50.0501,-110.6683,278.39,78,0,3.6,CA,1682426875
222,kinablangan,7.6947,126.5503,299.56,83,45,0.56,PH,1682426875
223,val-d'or,48.1002,-77.7828,274.2,100,100,2.57,CA,1682426875
224,capo d'orlando,38.1435,14.7305,293.38,67,100,5.01,IT,1682426876
225,rzhev,56.2624,34.3282,287.93,55,100,2.38,RU,1682426876
226,kosciusko,33.0576,-89.5876,283.94,62,86,3.24,US,1682426876
227,crane,31.3974,-102.3501,286.38,86,69,8.47,US,1682426876
228,huarmey,-10.0681,-78.1522,297.49,79,96,2.65,PE,1682426877
229,erenhot,43.6475,111.9767,280.22,12,100,3.82,CN,1682426746
230,dryden,49.7833,-92.7503,270.31,68,100,2.06,CA,1682426877
231,dalhart,36.0595,-102.5133,281.16,93,100,3.09,US,1682426877
232,belmonte,-15.8631,-38.8828,299.01,78,56,3.3,BR,1682426877
233,carauari,-4.8828,-66.8958,296.95,92,99,0.64,BR,1682426877
234,alofi,-19.0595,-169.9187,293.09,100,99,1.03,NU,1682426621
235,januaria,-15.4833,-44.3667,300.97,46,0,3.54,BR,1682426878
236,amga,60.8953,131.9608,267.06,97,100,0.99,RU,1682426878
237,bonthe,7.5264,-12.505,304.73,63,100,4.56,SL,1682426878
238,nishinoomote,30.7333,131.0,293.97,87,100,10.63,JP,1682426614
239,kalemie,-5.9475,29.1947,298.91,71,97,2.61,CD,1682426878
240,olinda,-8.0089,-34.8553,302.0,74,75,1.54,BR,1682426878
241,avarua,-21.2078,-159.775,299.18,78,40,5.14,CK,1682426878
242,cockburn town,21.4612,-71.1419,298.33,73,85,3.5,TC,1682426745
243,xilin hot,43.9667,116.0333,275.02,25,0,1.42,CN,1682426675
244,margate,51.3813,1.3862,284.09,58,15,2.68,GB,1682426879
245,naze,28.3667,129.4833,294.66,89,99,5.4,JP,1682426879
246,longjing,42.7714,129.4233,280.3,86,100,1.11,CN,1682426879
247,howrah,22.5892,88.3103,304.15,62,75,0.0,IN,1682426879
248,fort mcmurray,56.7268,-111.381,275.92,80,75,4.12,CA,1682426810
249,puerto deseado,-47.7503,-65.8938,283.61,70,100,3.93,AR,1682426880
250,zhalantun,48.0,122.7167,277.08,22,47,2.36,CN,1682426880
251,illizi,26.4833,8.4667,306.38,14,6,6.53,DZ,1682426880
252,dhalie,13.6957,44.7314,292.84,78,97,2.39,YE,1682426880
253,selfoss,63.9331,-20.9971,279.29,48,100,2.86,IS,1682426881
254,san luis,-33.295,-66.3356,290.84,56,0,2.92,AR,1682426881
255,mokhsogollokh,61.4681,128.9203,267.45,96,100,1.0,RU,1682426881
256,chipping norton,-33.9,150.95,291.47,87,0,0.45,AU,1682426881
257,college,64.8569,-147.8028,264.33,57,40,4.63,US,1682426881
258,codrington,-38.2667,141.9667,289.6,65,92,3.26,AU,1682426882
259,sisimiut,66.9395,-53.6735,274.08,100,100,2.47,GL,1682426882
260,afaahiti,-17.75,-149.2833,298.08,85,100,6.65,PF,1682426882
261,nuuk,64.1835,-51.7216,274.49,93,20,9.26,GL,1682426882
262,san marcos,33.1434,-117.1661,287.73,86,100,1.54,US,1682426819
263,kirensk,57.7853,108.1119,273.14,94,100,1.91,RU,1682426883
264,keflavik,64.0049,-22.5624,279.1,52,40,4.12,IS,1682426883
265,una,20.8167,71.0333,304.72,37,100,4.36,IN,1682426883
266,conduaga,8.862,117.4893,299.89,83,78,0.87,PH,1682426883
267,calatayud,41.3535,-1.6432,298.79,30,100,7.87,ES,1682426883
268,buka,40.8108,69.1986,299.11,28,0,4.43,UZ,1682426727
269,raduzhnyy,62.0961,77.475,272.6,80,72,2.5,RU,1682426884
270,belomorsk,64.5232,34.7668,273.97,84,100,2.98,RU,1682426884
271,bubaque,11.2833,-15.8333,299.03,66,4,4.28,GW,1682426884
272,kosan,38.8558,127.4181,280.23,85,64,2.5,KP,1682426884
273,saint-louis,16.3333,-15.0,310.95,12,2,2.52,SN,1682426884
274,wakimachi,34.0667,134.15,290.05,92,100,7.15,JP,1682426884
275,koungou,-12.7336,45.2042,302.99,70,20,8.75,YT,1682426885
276,tangalle,6.024,80.7911,299.24,81,100,1.39,LK,1682426885
277,cill airne,52.05,-9.5167,284.18,50,75,6.17,IE,1682426885
278,arkhangel'sk,64.5401,40.5433,278.21,56,20,2.0,RU,1682426885
279,guantanamo,20.1444,-75.2092,295.91,63,95,0.26,CU,1682426877
280,atafu village,-8.5421,-172.5159,301.85,76,13,3.62,TK,1682426886
281,pastos bons,-6.6017,-44.0767,302.04,48,100,4.09,BR,1682426886
282,ulladulla,-35.35,150.4667,288.08,91,7,1.96,AU,1682426887
283,yorkton,51.2167,-102.4677,271.06,80,0,3.6,CA,1682426887
284,tazacorte,28.629,-17.9293,294.69,81,20,5.66,ES,1682426888
285,hlukhiv,51.6782,33.9162,290.24,43,99,1.64,UA,1682426810
286,dudinka,69.4058,86.1778,275.72,90,100,2.84,RU,1682426888
287,kuqa,41.7278,82.9364,291.76,29,12,9.42,CN,1682426888
288,ouro sogui,15.6,-13.3167,314.16,16,0,4.12,SN,1682426889
289,kiama,-34.6833,150.8667,292.36,84,20,0.89,AU,1682426889
290,wacheng,33.7833,114.5167,286.7,61,0,3.38,CN,1682426739
291,al fashn,28.8243,30.8995,304.48,17,0,7.82,EG,1682426754
292,gulfport,30.3674,-89.0928,288.18,72,0,3.09,US,1682426810
293,aasiaat,68.7098,-52.8699,272.03,95,100,2.48,GL,1682426889
294,savur,37.5388,40.8877,293.81,42,85,0.51,TR,1682426890
295,kimbe,-5.5502,150.1429,299.09,87,97,0.83,PG,1682426890
296,aykhal,66.0,111.5,265.89,95,100,4.59,RU,1682426891
297,villa carlos paz,-31.4241,-64.4978,284.75,59,2,0.89,AR,1682426891
298,santa cruz,-17.8,-63.1667,293.18,88,75,5.66,BO,1682426891
299,liwale,-9.7667,37.9333,298.64,80,99,2.72,TZ,1682426891
300,parkersburg,39.2667,-81.5615,277.75,93,0,0.0,US,1682426891
301,santa vitoria do palmar,-33.5189,-53.3681,293.44,86,100,3.38,BR,1682426869
302,satipo,-11.2522,-74.6386,294.73,96,100,0.33,PE,1682426861
303,vadso,70.0744,29.7487,275.24,64,20,11.32,NO,1682426892
304,dhuusamarreeb,5.535,46.3861,306.16,42,97,3.71,SO,1682426892
305,bambanglipuro,-7.95,110.2833,299.67,86,100,2.11,ID,1682426892
306,northam,51.0333,-4.2167,285.51,61,100,5.26,GB,1682426892
307,el charco,2.4769,-78.1105,299.7,82,81,0.72,CO,1682426893
308,badger,64.8,-147.5333,264.29,59,40,4.63,US,1682426893
309,alaghsas,17.0187,8.0168,313.09,10,0,5.14,NE,1682426893
310,boguchany,58.3814,97.4531,272.83,91,100,4.73,RU,1682426894
311,la concepcion,8.5167,-82.6167,297.81,76,8,0.66,PA,1682426789
312,waajid,3.8096,43.2463,303.31,54,94,2.71,SO,1682426894
313,kupino,54.3663,77.2981,285.07,50,47,5.4,RU,1682426894
314,tarawa,1.419,172.984,300.2,83,75,1.54,KI,1682426837
315,georgetown,5.4112,100.3354,303.12,79,40,3.09,MY,1682426700
316,chinde,26.8418,88.0763,292.4,48,100,2.29,NP,1682426894
317,el calafate,-50.3408,-72.2768,278.7,79,5,1.97,AR,1682426895
318,pacocha,-17.5833,-71.3333,293.21,81,64,2.04,PE,1682426895
319,sungailiat,-1.85,106.1333,300.67,76,15,0.89,ID,1682426895
320,kavaratti,10.5669,72.642,301.36,67,71,3.55,IN,1682426895
321,rio de janeiro,-22.9028,-43.2075,302.12,80,20,2.06,BR,1682426895
322,rajakhera,26.8961,78.1714,305.26,17,2,1.4,IN,1682426895
323,sao tome,0.3365,6.7273,299.15,87,100,7.08,ST,1682426895
324,huilong,31.8111,121.655,285.14,77,100,4.23,CN,1682426677
325,mhamid,29.82,-5.72,308.48,9,0,4.85,MA,1682426896
326,vila velha,-20.3297,-40.2925,298.12,85,75,2.57,BR,1682426896
327,xilitla,21.3333,-98.9667,292.79,92,100,0.81,MX,1682426896
328,al qusayr,34.5091,36.5798,293.43,46,0,6.02,SY,1682426812
329,berezovyy,51.6667,135.7,275.34,88,100,1.53,RU,1682426896
